ID,Caso,Módulo,Prioridad,Tipo,Precondiciones,Pasos,Resultado Esperado,Estado,Observaciones
TC-ADMIN-002,Editar producto,Administración,Alta,Funcional,Usuario autenticado como administrador. Producto existente para editar.,1. Iniciar edición. 2. Modificar nombre. 3. Modificar precio. 4. Modificar descuento. 5. Modificar imagen. 6. Modificar categoría. 7. Modificar stock.,Cambios se guardan correctamente. Catálogo se actualiza automáticamente. Imágenes se cargan correctamente.,Pendiente,Verificar si hay cache que requiere invalidación. Documentar comportamiento del carrito con productos editados.
TC-ADMIN-003,Crear nuevo producto,Administración,Alta,Funcional,Usuario autenticado como administrador. Acceso a /admin/productos.,1. Abrir formulario de creación. 2. Completar datos básicos. 3. Configurar talles y stock. 4. Agregar imagen. 5. Guardar producto. 6. Verificar en catálogo público.,Producto creado exitosamente. Aparece inmediatamente en catálogo público. Todos los datos se guardan correctamente.,Pendiente,
TC-ADMIN-004,Duplicar producto,Administración,Baja,Funcional,Usuario autenticado como administrador. Producto existente.,1. Ir a /admin/productos. 2. Buscar producto a duplicar. 3. Hacer clic en botón Duplicar. 4. Confirmar duplicación.,Duplicación funciona correctamente. Nuevo producto independiente creado.,Pendiente,
TC-ADMIN-005,Actualizar stock de producto,Administración,Alta,Funcional,Producto existente con stock.,1. Ir a /admin/productos. 2. Editar producto. 3. Modificar stock de talles. 4. Guardar cambios. 5. Verificar en catálogo que cambios se reflejan.,Stock se actualiza correctamente. Cambios se reflejan inmediatamente.,Pendiente,
TC-BANNER-001,Banner activo/inactivo,Banners,Alta,Funcional,Usuario autenticado como administrador. Acceso a /admin/banners.,1. Crear banner activo. 2. Verificar banner en Home. 3. Desactivar banner. 4. Verificar que desaparece de Home. 5. Reactivar banner.,Banner activo aparece en Home. Banner inactivo NO aparece en Home. Cambio de estado funciona correctamente.,Pendiente,
TC-BANNER-002,Crear nuevo banner,Banners,Media,Funcional,Usuario autenticado como administrador.,1. Ir a /admin/banners. 2. Hacer clic en Nuevo Banner. 3. Completar formulario. 4. Guardar banner. 5. Verificar en Home que aparece en carousel.,Banner creado exitosamente. Aparece en Home inmediatamente. Imagen y link funcionan correctamente.,Pendiente,
TC-BANNER-003,Múltiples banners activos,Banners,Media,Funcional / UX,Múltiples banners creados y activos.,1. Crear 3 banners activos. 2. Configurar orden. 3. Ir a Home. 4. Verificar que carousel muestra los 3 banners. 5. Verificar rotación automática.,Múltiples banners se muestran correctamente. Rotación automática funciona. Navegación manual funciona.,Pendiente,
TC-CARRITO-001,Agregar producto al carrito,Carrito,Alta,Funcional,Producto disponible con stock.,1. Navegar a producto. 2. Seleccionar talle disponible. 3. Hacer clic en Agregar al carrito. 4. Verificar mensaje de éxito. 5. Verificar que ícono de carrito muestra cantidad actualizada.,Producto agregado correctamente. Carrito se actualiza inmediatamente. Datos correctos en carrito.,Pendiente,
TC-CARRITO-002,Modificar cantidad en carrito,Carrito,Alta,Funcional,Producto en carrito.,1. Ir a /carrito. 2. Hacer clic en botón + para aumentar cantidad. 3. Verificar que cantidad aumenta. 4. Hacer clic en botón - para disminuir cantidad.,Modificación de cantidad funciona correctamente. Subtotal se actualiza dinámicamente.,Pendiente,
TC-CARRITO-003,Eliminar producto del carrito,Carrito,Alta,Funcional,Producto en carrito.,1. Ir a /carrito. 2. Hacer clic en icono de basura del producto. 3. Verificar que producto desaparece del carrito.,Eliminación funciona correctamente. Carrito se actualiza inmediatamente.,Pendiente,
TC-CARRITO-004,Carrito persistente,Carrito,Alta,Funcional / Persistencia,Productos agregados al carrito.,1. Agregar productos al carrito. 2. Cerrar navegador completamente. 3. Abrir navegador nuevamente. 4. Navegar al sitio. 5. Ir a /carrito.,Carrito persiste entre sesiones. Datos se mantienen correctamente. Funciona con localStorage.,Pendiente,
TC-CATALOGO-001,Navegar catálogo,Catálogo y Navegación,Alta,Funcional,,1. Navegar a /catalogo. 2. Verificar que se cargan productos. 3. Verificar paginación. 4. Hacer clic en producto.,Catálogo carga correctamente. Navegación funciona. Productos se muestran correctamente.,Pendiente,
TC-CATALOGO-002,Filtrar por categoría,Catálogo y Navegación,Alta,Funcional,,1. Ir a /catalogo. 2. Seleccionar categoría. 3. Verificar que solo aparecen productos de esa categoría. 4. Limpiar filtro.,Filtros funcionan correctamente. Productos se filtran correctamente.,Pendiente,
TC-CATALOGO-003,Buscar producto,Catálogo y Navegación,Media,Funcional,,1. Ir a /catalogo. 2. Usar campo de búsqueda. 3. Buscar por nombre de producto. 4. Verificar que aparecen resultados relevantes.,Búsqueda funciona correctamente. Resultados relevantes.,Pendiente,
TC-CATALOGO-004,Ver detalle de producto,Catálogo y Navegación,Alta,Funcional,,1. Desde catálogo hacer clic en producto. 2. Verificar redirección a /producto/[id]. 3. Verificar que se muestra información completa.,Detalle de producto completo. Información correcta. Agregar al carrito funciona.,Pendiente,
TC-HOME-001,Carga de productos destacados,Home,Alta,Funcional,,1. Navegar a / (Home). 2. Scroll hasta sección Destacados de la Semana. 3. Verificar que se cargan productos con destacado = true.,Productos destacados se cargan correctamente. Máximo 6 productos en home.,Pendiente,
TC-HOME-002,Carrusel de banners,Home,Alta,Funcional / UI,1. Navegar a / (Home). 2. Verificar que carousel de banners aparece. 3. Esperar 5 segundos. 4. Verificar que banner cambia automáticamente.,Carousel funciona correctamente. Rotación automática funciona. Navegación manual funciona.,Pendiente,
TC-HOME-003,Sección nuevos ingresos,Home,Media,Funcional,,1. Navegar a / (Home). 2. Scroll hasta sección Nuevos ingresos. 3. Verificar que se cargan últimos productos creados.,Nuevos ingresos se cargan correctamente. Orden correcto (más recientes primero).,Pendiente,
TC-MOBILE-001,Checkout desde mobile,Mobile,Alta,UI / UX / Responsive,Acceso a dispositivo mobile o Chrome DevTools con viewport mobile. Productos en carrito.,1. Configurar viewport mobile. 2. Navegar catálogo en mobile. 3. Agregar producto al carrito. 4. Ir al carrito. 5. Calcular envío. 6. Iniciar checkout. 7. Completar pago en mobile.,Layout responsive funciona correctamente. Elementos son accesibles en mobile. Checkout completo funciona en mobile.,Pendiente,
TC-ERROR-001,Código postal inválido,Envíos,Media,Validación,,1. Ir a /carrito. 2. En calculadora de envío ingresar código postal inválido. 3. Intentar calcular.,Validación de código postal funciona. Mensajes de error claros.,Pendiente,
TC-ERROR-002,Checkout sin seleccionar envío,Checkout,Media,Validación,,1. Agregar producto al carrito. 2. Ir a /carrito. 3. NO calcular ni seleccionar envío. 4. Intentar hacer checkout.,Comportamiento claro y consistente. Usuario entiende qué hacer.,Pendiente,
TC-ERROR-003,Carrito vacío al intentar checkout,Checkout,Media,Validación,,1. Vaciar carrito manualmente. 2. Intentar hacer checkout. 3. Verificar mensaje: El carrito está vacío.,Validación de carrito vacío funciona. Mensaje claro. No permite checkout vacío.,Pendiente,

